1,3,4,9,10,27
3,15,21,41,43,45
9,20,25,38,43,45
5,8,12,15,31,40
10,11,13,26,31,39
2,5,11,19,28,32
1,3,17,27,38,44
8,14,15,20,29,36
18,21,28,29,41,42
14,22,28,39,42,43
2,9,23,28,40,43
8,9,11,23,32,38
4,5,13,15,23,35
10,15,19,23,33,35
1,5,18,23,32,37
14,15,16,33,35,45
14,17,26,35,37,41
6,9,14,20,24,39
7,23,26,27,31,43
4,19,21,32,36,37
6,16,25,33,37,40
2,8,9,29,31,44
13,22,24,26,35,38
1,26,29,34,38,42
3,8,14,35,39,45
8,24,25,28,38,41
5,10,12,22,25,44
9,14,20,25,28,31
7,16,26,30,38,44
1,3,10,13,14,41
18,20,22,23,27,35
8,9,15,19,32,43
15,27,35,39,43,45
1,5,6,8,21,40
9,10,16,29,40,42
7,13,14,17,37,43
10,25,27,29,31,33
12,14,19,30,33,35
1,3,5,14,28,35
3,4,17,20,39,45
1,21,23,24,41,42
3,6,17,28,40,45
6,9,14,19,31,39
8,9,23,25,31,33
2,17,21,22,29,32
3,21,26,29,33,35
4,12,19,31,34,35
2,4,22,23,34,43
4,18,19,34,41,42
10,12,19,22,25,40
26,29,31,33,36,41
9,18,21,31,34,41
3,4,15,17,44,45
7,15,17,21,35,38
9,14,26,31,37,41
3,15,18,30,31,38
4,22,25,32,38,43
7,9,17,32,37,39
6,9,17,24,32,42
22,25,30,36,43,44
6,25,35,37,38,43
19,27,30,31,37,44
6,15,17,18,30,39
4,5,14,27,34,40
22,24,26,29,38,40
22,25,37,38,39,41
15,21,23,29,30,40
10,11,12,14,35,43
2,8,14,24,25,34
8,26,34,36,37,39
5,9,10,19,30,37
1,4,22,23,25,39
1,3,28,31,37,43
5,21,25,29,30,41
5,6,19,30,44,45
10,11,14,16,26,29
11,16,18,31,38,42
6,9,10,14,23,38
3,6,11,17,24,42
4,11,20,34,35,39
7,20,21,22,27,33
4,19,26,39,40,44
4,16,18,26,37,45
1,24,26,28,32,36
1,9,10,11,33,34
1,4,12,25,31,35
9,20,23,24,31,38
5,8,30,36,38,40
6,14,18,19,22,34
10,19,21,27,29,41
12,14,17,27,29,38
5,12,25,28,32,34
16,17,22,38,39,42
3,20,24,30,36,40
11,17,29,33,34,40
2,9,16,20,25,28
2,5,12,14,24,38
4,8,23,36,40,43
1,2,16,21,22,40
3,6,17,19,30,45
4,10,39,40,43,44
1,10,14,19,23,44
5,6,9,16,17,38
1,3,10,23,44,45
4,5,6,9,42,44
2,3,4,7,16,27
6,9,11,29,34,37
12,22,31,34,39,41
11,14,16,19,30,45
1,5,15,19,21,38
17,21,24,27,28,42
14,23,26,29,34,40
3,5,8,12,17,30
6,10,22,26,36,42
17,19,32,41,42,43
14,21,22,25,34,39
4,8,13,19,20,21
14,15,29,32,34,37
5,11,18,21,24,43
16,18,23,24,44,45
14,24,26,36,38,45
1,16,19,22,27,43
3,10,11,17,38,39
2,13,18,36,43,44
17,19,25,31,37,43
11,13,21,41,42,45
5,9,20,29,43,45
19,33,35,36,37,42
3,18,23,24,28,30
3,12,15,31,36,45
5,10,17,38,44,45
3,10,18,22,27,29
4,9,14,19,22,25
19,26,37,40,44,45
5,24,27,28,35,40
5,9,10,15,37,43
2,6,9,15,24,31
2,16,32,37,39,45
6,8,10,12,23,45
8,15,23,26,36,41
9,17,19,29,37,40
1,20,26,29,37,44
2,3,22,30,32,45
17,21,32,35,37,40
14,15,19,23,37,43
7,14,19,22,24,32
4,18,22,31,35,36
1,25,32,38,44,45
15,25,28,33,41,44
14,15,16,31,37,43
7,17,29,31,41,42
14,20,22,29,37,43
10,11,14,20,43,45
4,7,17,19,25,44
3,7,27,31,39,44
19,21,22,34,40,45
11,16,23,34,38,44
4,12,16,20,39,41
5,20,26,36,41,44
22,27,28,29,30,43
4,10,13,18,27,44
5,14,19,24,29,38
6,8,25,33,35,37
9,20,34,40,42,44
6,11,18,30,32,43
3,18,24,26,30,39
5,8,9,14,36,45
5,8,21,39,43,44
2,13,17,20,22,39
2,4,7,28,40,41
5,6,8,17,42,43
2,5,13,32,35,40
9,11,13,14,23,40
6,15,23,24,39,45
4,6,8,21,29,31
1,9,22,24,27,30
6,10,19,30,31,34
5,17,23,36,42,44
1,9,13,14,20,33
8,11,19,41,42,44
3,20,33,40,42,44
2,22,29,35,37,43
13,14,20,24,30,33
10,20,25,28,35,42
10,17,26,38,39,43
9,10,18,24,39,40
5,31,37,39,40,42
14,22,27,32,36,44
11,22,23,24,39,43
1,9,10,17,19,28
8,20,25,26,39,44
3,5,13,23,34,38
2,11,17,18,32,44
8,20,24,31,34,38
1,2,16,26,38,42
4,23,25,29,30,39
17,23,30,32,39,45
4,5,7,11,19,36
19,22,25,27,37,45
1,2,14,22,36,37
10,11,14,27,35,36
1,4,15,19,28,45
6,14,19,21,25,44
2,5,6,16,28,38
6,11,25,26,27,35
10,11,17,20,33,43
12,19,22,31,33,34
4,11,14,18,35,40
4,21,24,32,33,39
24,25,27,31,35,36
2,4,9,20,27,29
10,21,23,26,27,38
1,2,4,16,36,43
2,18,23,42,43,44
10,18,20,24,36,43
5,11,17,23,24,28
6,14,16,23,36,39
2,5,7,14,21,35
5,16,19,29,36,41
11,13,21,25,34,40
15,19,22,28,33,39
2,6,16,18,27,39
6,13,16,34,38,45
8,14,19,28,31,32
6,8,23,31,38,45
3,7,13,15,40,41
8,23,31,42,43,44
15,20,30,32,38,39
9,17,28,32,41,45
10,11,12,26,31,39
2,9,14,24,27,38
8,10,17,18,34,42
4,24,25,27,29,42
11,12,22,34,35,41
18,20,37,38,39,41
11,13,16,28,38,40
2,9,30,38,43,44
6,9,22,25,35,43
2,4,13,19,20,22
2,7,28,29,32,36
1,5,21,24,26,35
13,18,22,37,39,43
1,17,18,28,32,33
4,13,24,28,30,35
4,5,20,27,37,44
14,20,21,24,26,30
5,13,14,18,34,44
9,18,27,37,42,44
7,9,20,37,39,41
19,20,26,36,37,38
6,15,19,30,33,36
3,12,22,33,36,45
7,25,26,36,37,40
1,9,30,33,36,42
2,15,29,42,43,44
6,8,19,23,31,42
6,25,33,41,43,44
9,19,22,30,36,42
10,15,17,30,33,39
4,22,23,26,30,31
7,14,26,29,31,40
6,18,25,35,38,42
2,6,16,32,34,38
4,6,16,24,36,42
3,19,22,28,34,42
3,6,14,15,34,38
17,21,26,27,36,44
4,12,25,32,35,41
4,12,20,23,30,35
13,18,27,32,33,35
13,25,35,36,42,44
2,3,7,10,20,36
18,26,35,36,37,44
11,15,21,28,29,30
8,14,23,29,44,45
6,18,20,30,42,45
9,14,31,32,34,40
17,26,30,31,32,40
4,12,22,29,33,37
11,13,37,39,41,44
15,16,22,28,30,32
1,7,16,22,25,28
1,11,31,41,43,45
7,18,19,33,36,45
18,25,27,34,38,49
1,14,16,22,32,35
10,12,14,20,23,41
6,7,11,13,27,34
2,11,15,24,25,29
1,7,14,17,26,27
2,3,15,22,29,39
3,15,18,22,41,43
19,23,29,38,44,49
3,29,32,34,42,45
1,12,23,32,42,45
1,11,17,21,25,40
7,14,18,19,31,43
17,21,27,28,32,36
9,11,25,30,32,42
1,7,12,21,34,40
10,11,16,18,37,38
17,34,37,39,45,46
5,7,23,31,32,42
19,20,32,37,38,48
10,23,26,33,37,39
13,14,22,26,35,44
6,14,18,30,34,43
2,8,18,26,27,28
3,6,7,16,39,49
11,25,37,38,43,48
1,15,25,27,44,49
14,17,19,22,34,44
4,15,33,42,43,44
6,7,8,31,41,46
15,19,20,39,42,46
17,34,35,41,45,49
5,6,20,23,25,37
3,7,22,25,40,45
7,10,21,37,43,46
3,8,36,39,44,45
1,8,31,36,37,38
10,26,35,39,45,49
20,31,34,43,45,47
3,4,19,24,33,42
19,20,25,29,39,42
1,9,12,22,30,32
4,20,26,34,36,41
3,6,19,23,30,38
10,15,31,41,46,48
2,4,13,32,47,48
2,10,15,20,36,49
9,21,24,38,44,45
7,15,22,30,37,41
10,27,36,40,41,44
13,30,42,43,45,47
10,33,35,36,43,46
6,9,18,20,30,44
3,14,29,33,41,44
1,16,21,31,39,41
1,3,9,10,18,37
6,10,14,46,47,49
1,7,15,24,28,30
4,24,29,30,33,34
11,23,24,26,29,38
3,5,10,30,37,46
5,14,19,21,23,38
6,12,13,16,25,43
2,31,37,38,40,43
7,14,15,18,26,47
9,15,35,41,46,48
1,10,12,30,41,44
4,8,11,35,36,45
1,13,31,36,41,43
13,15,24,33,35,45
4,7,19,31,39,48
1,19,27,30,37,40
1,13,24,25,36,42
7,15,27,44,46,49
1,15,28,32,47,48
11,20,39,40,43,49
3,11,13,17,30,40
16,25,38,39,41,43
4,36,40,44,45,47
2,29,32,40,41,47
19,24,40,43,47,49
1,3,14,15,30,40
3,8,9,20,35,39
5,7,25,37,47,49
11,22,23,39,41,42
3,16,20,24,32,47
4,9,30,35,41,49
11,17,25,30,47,48
5,13,29,31,38,48
10,13,22,23,28,30
1,5,11,19,21,22
2,3,18,20,23,31
5,10,27,33,41,45
6,12,24,29,35,37
6,8,12,17,45,47
9,21,39,42,46,48
7,18,19,26,42,43
1,7,20,31,34,48
16,18,24,30,39,46
1,4,16,19,33,42
2,6,14,17,36,39
17,22,29,36,42,47
5,7,29,37,46,47
14,23,29,31,34,49
9,29,38,40,43,48
4,6,9,12,21,44
2,9,13,22,34,39
17,35,38,39,45,49
8,11,21,22,44,45
4,8,23,42,44,49
7,8,18,27,33,41
9,17,25,39,43,45
1,14,17,22,36,38
2,5,19,42,46,49
4,8,34,41,42,44
4,7,14,28,34,49
9,14,31,35,40,49
1,11,19,24,25,46
9,17,18,27,33,39
7,11,18,22,33,44
17,32,33,34,47,49
13,20,21,30,40,47
5,6,28,36,46,48
6,21,26,29,33,41
1,2,17,23,39,45
12,14,32,33,41,47
1,8,12,23,29,38
3,14,31,35,37,49
2,26,27,29,31,38
1,4,25,30,43,44
1,19,24,25,27,41
2,3,8,37,43,44
3,4,5,11,19,21
6,19,36,37,42,45
5,13,22,28,36,37
2,9,14,32,35,40
10,20,22,31,40,44
7,20,22,36,37,49
1,5,7,10,14,19
1,7,25,28,32,33
7,10,20,36,42,45
6,7,13,36,38,40
12,15,22,32,34,38
10,14,24,27,37,48
34,35,40,42,44,46
3,23,29,42,46,47
31,37,38,43,45,46
4,6,10,17,23,31
4,6,8,18,23,48
14,20,23,31,45,47
2,16,32,33,43,46
3,20,22,39,43,44
2,13,14,21,42,45
1,5,16,21,23,45
6,21,23,38,42,46
19,23,27,28,37,41
3,9,13,38,48,49
1,8,12,24,38,44
1,10,15,31,34,39
23,32,33,35,36,49
19,30,33,35,43,48
4,13,33,34,43,48
3,5,21,22,26,32
15,20,24,26,36,46
2,14,20,28,31,49
4,12,14,33,39,47
6,18,31,42,45,49
9,22,25,36,38,49
1,9,19,32,43,47
9,17,25,38,44,45
5,10,11,19,21,36
6,11,30,41,44,46
6,17,22,24,41,46
3,10,25,30,43,48
10,16,17,39,44,48
13,28,30,40,44,45
6,25,28,30,38,48
2,9,17,31,33,46
4,6,22,23,30,31
21,26,30,32,41,43
9,14,23,30,40,43
5,6,18,23,32,46
5,12,23,26,37,47
11,17,21,23,26,47
1,3,22,30,40,45
2,5,7,14,17,24
17,30,35,36,37,40
16,18,25,28,47,49
9,36,39,43,44,49
7,13,20,43,44,47
9,14,16,23,40,41
4,10,13,15,32,40
8,10,12,21,34,40
6,7,28,34,41,46
1,10,11,16,36,47
15,19,21,34,47,48
3,25,28,34,44,49
2,16,18,22,45,49
20,32,37,39,42,48
9,13,16,35,42,46
19,23,40,43,47,49
1,5,30,31,40,42
5,27,36,38,39,48
4,5,18,22,32,47
8,30,37,38,43,49
3,23,25,34,39,40
3,21,22,25,39,40
13,21,27,29,39,51
3,6,13,32,46,50
19,25,27,49,51,54
3,6,15,19,29,50
7,9,43,49,53,54
1,21,33,50,51,52
8,10,27,36,43,54
12,17,22,26,50,54
23,28,29,33,43,48
16,17,24,26,29,39
5,6,11,12,19,33
6,9,29,37,38,45
10,13,41,46,52,53
16,26,38,42,45,48
5,15,16,20,36,54
17,21,37,38,45,46
11,19,24,27,32,41
2,8,9,24,47,50
1,13,14,17,23,49
9,16,19,31,34,36
7,16,19,21,24,53
3,15,42,44,48,51
7,10,16,25,38,48
10,22,26,37,44,54
5,8,17,20,24,29
6,20,33,37,44,51
7,23,25,31,36,42
8,11,20,33,37,38
1,3,11,29,47,53
1,8,15,16,52,54
1,23,36,39,41,51
7,12,16,47,48,54
6,24,25,26,36,49
8,19,29,32,37,38
10,15,16,25,28,34
5,35,36,39,44,47
27,30,32,45,50,52
5,10,19,25,32,38
4,11,18,22,28,46
18,21,27,31,32,42
12,15,33,47,48,54
2,5,6,12,14,16
1,7,33,39,44,53
10,11,22,43,46,47
2,7,14,23,24,48
5,18,28,38,44,53
2,10,18,27,39,42
3,6,18,24,38,45
14,21,29,31,36,43
1,19,21,41,44,45
5,8,10,11,38,41
16,22,31,36,43,54
6,12,19,28,31,43
7,12,31,33,46,54
23,30,33,41,48,50
1,2,3,20,32,37
14,32,33,34,38,40
6,17,28,34,43,54
9,11,14,32,43,45
21,22,24,29,49,53
10,17,42,47,49,54
9,15,20,23,35,53
2,21,23,25,52,53
14,16,39,45,52,54
22,23,24,27,44,47
1,3,6,16,26,47
3,26,27,40,43,47
6,8,10,39,42,46
8,11,18,32,38,48
23,29,31,48,50,52
7,19,25,36,41,48
5,12,21,24,38,44
2,7,15,30,38,52
9,12,16,26,28,35
7,16,29,32,36,37
5,9,12,28,41,50
14,23,27,34,38,53
6,8,39,45,48,50
7,13,15,17,20,51
3,26,32,37,39,52
10,12,20,26,45,47
4,8,18,21,22,54
3,12,23,32,43,50
1,6,26,47,52,54
1,6,21,37,52,53
2,12,13,23,24,37
3,12,21,31,37,43
17,31,38,40,45,53
5,11,26,45,46,50
13,14,18,19,27,46
4,7,14,18,34,52
3,6,8,21,42,54
15,29,36,41,48,52
3,5,7,27,44,47
6,8,10,31,48,54
10,18,27,28,32,41
11,32,36,38,44,53
8,21,23,26,34,48
3,4,8,17,20,50
9,18,20,21,33,37
1,27,32,35,49,51
13,24,27,30,40,47
7,16,18,32,34,53
4,14,18,24,29,30
2,11,13,22,36,46
18,21,27,44,51,54
4,19,26,28,40,48
